E_low_keV,E_high_keV,E_center_keV,pdf_kTe_40_keV,prob_per_bin_kTe_40_keV,expected_counts_kTe_40_keV,cdf_kTe_40_keV,pdf_kTe_100_keV,prob_per_bin_kTe_100_keV,expected_counts_kTe_100_keV,cdf_kTe_100_keV,pdf_kTe_160_keV,prob_per_bin_kTe_160_keV,expected_counts_kTe_160_keV,cdf_kTe_160_keV,pdf_kTe_300_keV,prob_per_bin_kTe_300_keV,expected_counts_kTe_300_keV,cdf_kTe_300_keV
2769.4700000000003,2774.46,2771.965,2.7939448508007597e-34,1.3941784805495182e-33,1.3941784805495182e-27,0.9999999999999996,1.8210549083869082e-16,9.087063992850275e-16,9.087063992850275e-10,0.999999999999983,4.803527989650617e-12,2.396960466835553e-11,2.396960466835553e-05,0.9999999992833218,1.2302210478943743e-08,6.138803028992659e-08,0.06138803028992659,0.9999966740622559
2774.46,2779.4500000000003,2776.955,2.4618324561811537e-34,1.228454395634454e-33,1.228454395634454e-27,0.9999999999999996,1.729301214221865e-16,8.629213058967515e-16,8.629213058967515e-10,0.9999999999999839,4.647663392681961e-12,2.3191840329484086e-11,2.3191840329484087e-05,0.9999999993065137,1.207753454793769e-08,6.026689739421193e-08,0.06026689739421193,0.9999967343291533
2779.4500000000003,2784.44,2781.945,2.169204810954989e-34,1.0824332006664921e-33,1.0824332006664921e-27,0.9999999999999996,1.6421758245361392e-16,8.194457364434976e-16,8.194457364434976e-10,0.9999999999999847,4.4968708013357275e-12,2.24393852986643e-11,2.24393852986643e-05,0.9999999993289531,1.1857000171376657e-08,5.916643085516693e-08,0.05916643085516693,0.9999967934955841
2784.44,2789.4300000000003,2786.9350000000004,1.9113667298444065e-34,9.53771998192404e-34,9.53771998192404e-28,0.9999999999999996,1.5594449902744978e-16,7.781630501470113e-16,7.781630501470113e-10,0.9999999999999855,4.350984646945336e-12,2.1711413388258255e-11,2.1711413388258255e-05,0.9999999993506645,1.164053017904123e-08,5.8086245593418495e-08,0.058086245593418497,0.9999968515818297
2789.4300000000003,2794.42,2791.925,1.6841814427397397e-34,8.404065399270933e-34,8.404065399270933e-28,0.9999999999999996,1.4808867830495556e-16,7.389625047416959e-16,7.389625047416959e-10,0.9999999999999862,4.209844784350204e-12,2.10071254739066e-11,2.10071254739066e-05,0.9999999993716716,1.1428048856808613e-08,5.7025963795472485e-08,0.057025963795472485,0.9999969086077936
2794.42,2799.4100000000003,2796.915,1.4840041676507644e-34,7.405180796577665e-34,7.405180796577665e-28,0.9999999999999996,1.4062904965424535e-16,7.017389577747176e-16,7.017389577747176e-10,0.9999999999999869,4.073296313558508e-12,2.032574860465792e-11,2.032574860465792e-05,0.9999999993919974,1.1219481918771535e-08,5.5985214774672613e-08,0.055985214774672616,0.9999969645930084
2799.4100000000003,2804.4,2801.905,1.307623587135789e-34,6.525041699807302e-34,6.525041699807302e-28,0.9999999999999996,1.3354560782615848e-16,6.663925830525017e-16,6.663925830525017e-10,0.9999999999999876,3.941189407299106e-12,1.9666535142421678e-11,1.966653514242168e-05,0.9999999994116638,1.1014756479900168e-08,5.496363483469943e-08,0.05496363483469943,0.9999970195566432
2804.4,2809.3900000000003,2806.8950000000004,1.152210287663613e-34,5.749529335441701e-34,5.749529335441701e-28,0.9999999999999996,1.268193590117341e-16,6.328286014685831e-16,6.328286014685831e-10,0.9999999999999882,3.813379144266912e-12,1.9028761929892792e-11,1.9028761929892793e-05,0.9999999994306926,1.0813801029236422e-08,5.3960867135892305e-08,0.05396086713589231,0.9999970735175103
2809.3900000000003,2814.38,2811.885,1.0152713333159668e-34,5.066203953246453e-34,5.066203953246453e-28,0.9999999999999996,1.2043226963491976e-16,6.009570254782233e-16,6.009570254782233e-10,0.9999999999999888,3.689725347873118e-12,1.8411729485886054e-11,1.8411729485886055e-05,0.9999999994491043,1.061654540361008e-08,5.297656156401198e-08,0.05297656156401198,0.9999971264940719
2814.38,2819.3700000000003,2816.875,8.946102438608269e-35,4.464105116865738e-34,4.464105116865737e-28,0.9999999999999996,1.1436721774161227e-16,5.706924165306723e-16,5.706924165306723e-10,0.9999999999999893,3.5700924303175354e-12,1.7814761227285347e-11,1.7814761227285348e-05,0.9999999994669191,1.0422920761866158e-08,5.201037460171459e-08,0.05201037460171459,0.9999971785044465
