E_MeV,electron_dLdE_ph_per_MeV,electron_L_ph,alpha_dLdE_ph_per_MeV,alpha_L_ph,o16_dLdE_ph_per_MeV,o16_L_ph,alpha_over_electron_L,o16_over_electron_L
0.0866713879739,45162.6805648,3839.08164737,12224.1083733,1427.74085742,9352.85280609,1154.21602359,0.371896455602,0.300648990986
0.0878795401182,45169.7633941,3893.6493153,12167.3522104,1442.47515513,9301.30762019,1165.48455555,0.370468688451,0.299329616299
0.0891045332482,45176.7874023,3948.98626732,12110.8443133,1457.3454671,9249.9753359,1176.84715264,0.369042931134,0.298012470283
0.0903466021181,45183.7530595,4005.10327451,12054.5857375,1472.3530313,9198.85585887,1188.3045121,0.367619242347,0.296697595705
0.0916059847544,45190.6608323,4062.01125832,11998.5775121,1487.49909937,9147.94908541,1199.85733588,0.366197680108,0.295385034551
0.0928829225017,45197.511184,4119.7212927,11942.8206387,1502.78493688,9097.25490252,1211.50633072,0.364778301761,0.29407482804
0.0941776600687,45204.3045743,4178.24460619,11887.3160919,1518.21182351,9046.77318802,1223.25220812,0.363361163982,0.292767016633
0.0954904455752,45211.0414597,4237.59258411,11832.0648183,1533.78105325,8996.50381057,1235.09568438,0.361946322777,0.291461640039
0.0968215305997,45217.7222933,4297.77677072,11777.0677364,1549.49393464,8946.44662985,1247.0374807,0.360533833492,0.290158737232
0.0981711702275,45224.3475247,4358.80887144,11722.3257368,1565.35179097,8896.60149659,1259.07832311,0.359123750809,0.288858346454
0.0995396230998,45230.9176003,4420.70075513,11667.8396814,1581.3559605,8846.96825266,1271.21894261,0.357716128752,0.287560505228
0.100927151463,45233.9179068,4483.4620177,11613.6104037,1597.50779666,8797.54673115,1283.46007511,0.356311214493,0.286265406072
0.102334021219,45240.1228916,4547.10461356,11559.6387089,1613.80866833,8748.3367565,1295.80246152,0.354909069722,0.284973092032
0.103760501977,45246.2540242,4611.6431513,11505.9253737,1630.25995999,8699.33814456,1308.24684777,0.353509564054,0.28368345183
0.105206867102,45252.3119945,4677.09013621,11452.4711465,1646.86307202,8650.55070259,1320.79398485,0.352112750463,0.282396521424
0.106673393773,45258.2974868,4743.45824762,11399.2767476,1663.61942091,8601.97422958,1333.44462883,0.350718681194,0.281112336026
0.108160363031,45264.2111795,4810.76034137,11346.3428697,1680.53043946,8553.60851611,1346.1995409,0.349327407772,0.279830930118
0.109668059834,45270.0537454,4879.00945225,11293.6701779,1697.59757711,8505.4533445,1359.05948741,0.347938981,0.27855233746
0.111196773112,45275.8258519,4948.21879647,11241.2593103,1714.82230007,8457.50848893,1372.02523991,0.34655345097,0.277276591102
0.112746795824,45281.5281603,5018.40177422,11189.1108788,1732.20609169,8409.77371556,1385.09757517,0.345170867066,0.276003723393
0.114318425013,45287.1613268,5089.5719722,11137.2254692,1749.75045263,8362.24878258,1398.27727522,0.343791277968,0.274733765994
0.11591196186,45292.7260016,5161.74316622,11085.6036424,1767.45690115,8314.9334402,1411.56512741,0.342414731658,0.273466749885
0.117527711746,45298.2228296,5234.92932387,11034.2459346,1785.32697337,8267.82743089,1424.96192441,0.341041275425,0.272202705375
0.11916598431,45303.6524501,5309.1446071,10983.1528589,1803.36222355,8220.93048948,1438.46846426,0.339670955871,0.270941662115
0.120827093504,45309.0154969,5384.40337504,10932.3249054,1821.56422436,8174.24234301,1452.08555043,0.338303818916,0.269683649104
0.12251135766,45314.3125983,5460.72018664,10881.762543,1839.93456715,8127.76271117,1465.81399182,0.336939909804,0.2684286947
0.124219099545,45319.5443772,5538.10980352,10831.4662199,1858.47486226,8081.4913061,1479.65460282,0.335579273109,0.267176826629
0.125950646426,45324.7114511,5616.58719273,10781.4363651,1877.18673929,8035.42783259,1493.60820335,0.33422195274,0.265928071995
0.127706330131,45329.814432,5696.16752967,10731.6733896,1896.07184741,7989.57198815,1507.67561888,0.332867991949,0.264682457289
0.129486487115,45334.8539267,5776.86620094,10682.1776875,1915.13185568,7943.92346315,1521.85768048,0.331517433339,0.263440008397
0.131291458521,45339.8305365,5858.69880733,10632.9496379,1934.36845335,7898.48194084,1536.15522487,0.330170318866,0.262200750608
0.13312159025,45344.7448574,5941.68116671,10583.9896058,1953.78335021,7853.24709748,1550.56909442,0.328826689852,0.260964708626
0.134977233023,45349.5974804,6025.82931717,10535.297944,1973.37827686,7808.21860241,1565.10013724,0.32748658699,0.259731906574
0.13685874245,45354.3889908,6111.15951997,10486.8749944,1993.15498514,7763.39611813,1579.74920718,0.326150050351,0.258502368007
0.138766479098,45359.1199691,6197.68826272,10438.7210899,2013.11524841,7718.77930039,1594.5171639,0.324817119395,0.257276115918
0.14070080856,45363.7909903,6285.4322625,10390.836556,2033.26086192,7674.36779829,1609.40487287,0.323487832978,0.256053172743
